trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d026_set1_it_coh_list1,201,1,26,026_sleep_drag_log,sleep_drag_log,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,101,4,JpegStimuliFullRes/26_sleep_drag log/1/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/1/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/1/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/1/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_211_img_6813.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set1_tr_ic_list1,202,1,26,026_sleep_drag_log,sleep_drag_log,1,tr_ic,transitive_incohesive,incohesive,transitive,2,101,3,JpegStimuliFullRes/26_sleep_drag log/1/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/1/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/1/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_212_img_6890.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set2_tr_coh_list1,203,1,26,026_sleep_drag_log,sleep_drag_log,2,tr_coh,transitive_cohesive,cohesive,transitive,1,102,3,JpegStimuliFullRes/26_sleep_drag log/2/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/2/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/2/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_213_img_7047.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set2_it_ic_list1,204,1,26,026_sleep_drag_log,sleep_drag_log,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,102,3,JpegStimuliFullRes/26_sleep_drag log/2/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/2/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/2/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_214_img_6787.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set3_tr_coh_list1,205,1,26,026_sleep_drag_log,sleep_drag_log,3,tr_coh,transitive_cohesive,cohesive,transitive,1,103,3,JpegStimuliFullRes/26_sleep_drag log/3/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/3/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/3/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_215_img_6801.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set3_it_ic_list1,206,1,26,026_sleep_drag_log,sleep_drag_log,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,103,3,JpegStimuliFullRes/26_sleep_drag log/3/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/3/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/3/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_216_img_6788.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set4_it_coh_list1,207,1,26,026_sleep_drag_log,sleep_drag_log,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,104,4,JpegStimuliFullRes/26_sleep_drag log/4/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/4/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/4/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/4/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_217_img_6820.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d026_set4_tr_ic_list1,208,1,26,026_sleep_drag_log,sleep_drag_log,4,tr_ic,transitive_incohesive,incohesive,transitive,2,104,3,JpegStimuliFullRes/26_sleep_drag log/4/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/4/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/4/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_218_img_7027.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\26_sleep_drag log
d027_set1_it_coh_list1,209,1,27,027_jump_pull_blanket,jump_pull_blanket,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,105,4,JpegStimuliFullRes/27_jump_pull blanket/1/coh_1.jpg,coh_1,JpegStimuliFullRes/27_jump_pull blanket/1/coh_2.jpg,coh_2,JpegStimuliFullRes/27_jump_pull blanket/1/it_target.jpg,it_target,JpegStimuliFullRes/27_jump_pull blanket/1/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_219_img_7096.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\27_jump_pull blanket
d027_set1_tr_ic_list1,210,1,27,027_jump_pull_blanket,jump_pull_blanket,1,tr_ic,transitive_incohesive,incohesive,transitive,2,105,3,JpegStimuliFullRes/27_jump_pull blanket/1/ic_1.jpg,ic_1,JpegStimuliFullRes/27_jump_pull blanket/1/tr_target.jpg,tr_target,JpegStimuliFullRes/27_jump_pull blanket/1/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_220_img_6931.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\27_jump_pull blanket
