trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list2_d001_set1_tr_coh_list2,d001_set1_tr_coh_list2,2,1,001_cough_throw_bones,cough_throw_bones,1,tr_coh,transitive_cohesive,cohesive,transitive,1,1,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/1/tr_target.jpg,tr_target
isolated_list2_d001_set2_it_coh_list2,d001_set2_it_coh_list2,2,1,001_cough_throw_bones,cough_throw_bones,2,it_coh,intransitive_cohesive,cohesive,intransitive,2,2,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/2/it_target.jpg,it_target
isolated_list2_d001_set3_it_coh_list2,d001_set3_it_coh_list2,2,1,001_cough_throw_bones,cough_throw_bones,3,it_coh,intransitive_cohesive,cohesive,intransitive,2,3,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/3/it_target.jpg,it_target
isolated_list2_d001_set4_tr_coh_list2,d001_set4_tr_coh_list2,2,1,001_cough_throw_bones,cough_throw_bones,4,tr_coh,transitive_cohesive,cohesive,transitive,1,4,../psychopy_gurung_v1/JpegStimuliFullRes/1_cough_throw bones/4/tr_target.jpg,tr_target
isolated_list2_d002_set1_tr_coh_list2,d002_set1_tr_coh_list2,2,2,002_stand_weave_basket,stand_weave_basket,1,tr_coh,transitive_cohesive,cohesive,transitive,1,5,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/1/tr_target.jpg,tr_target
isolated_list2_d002_set2_it_coh_list2,d002_set2_it_coh_list2,2,2,002_stand_weave_basket,stand_weave_basket,2,it_coh,intransitive_cohesive,cohesive,intransitive,2,6,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/2/it_target.jpg,it_target
isolated_list2_d002_set3_it_coh_list2,d002_set3_it_coh_list2,2,2,002_stand_weave_basket,stand_weave_basket,3,it_coh,intransitive_cohesive,cohesive,intransitive,2,7,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/3/it_target.jpg,it_target
isolated_list2_d002_set4_tr_coh_list2,d002_set4_tr_coh_list2,2,2,002_stand_weave_basket,stand_weave_basket,4,tr_coh,transitive_cohesive,cohesive,transitive,1,8,../psychopy_gurung_v1/JpegStimuliFullRes/2_stand_weave basket/4/tr_target.jpg,tr_target
isolated_list2_d003_set1_tr_coh_list2,d003_set1_tr_coh_list2,2,3,003_rest_cook_fish,rest_cook_fish,1,tr_coh,transitive_cohesive,cohesive,transitive,1,9,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/1/tr_target.jpg,tr_target
isolated_list2_d003_set2_it_coh_list2,d003_set2_it_coh_list2,2,3,003_rest_cook_fish,rest_cook_fish,2,it_coh,intransitive_cohesive,cohesive,intransitive,2,10,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/2/it_target.jpg,it_target
isolated_list2_d003_set3_it_coh_list2,d003_set3_it_coh_list2,2,3,003_rest_cook_fish,rest_cook_fish,3,it_coh,intransitive_cohesive,cohesive,intransitive,2,11,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/3/it_target.jpg,it_target
isolated_list2_d003_set4_tr_coh_list2,d003_set4_tr_coh_list2,2,3,003_rest_cook_fish,rest_cook_fish,4,tr_coh,transitive_cohesive,cohesive,transitive,1,12,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/4/tr_target.jpg,tr_target
isolated_list2_d004_set1_tr_coh_list2,d004_set1_tr_coh_list2,2,4,004_run_drink_tea,run_drink_tea,1,tr_coh,transitive_cohesive,cohesive,transitive,1,13,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/1/tr_target.jpg,tr_target
isolated_list2_d004_set2_it_coh_list2,d004_set2_it_coh_list2,2,4,004_run_drink_tea,run_drink_tea,2,it_coh,intransitive_cohesive,cohesive,intransitive,2,14,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/2/it_target.jpg,it_target
isolated_list2_d004_set3_it_coh_list2,d004_set3_it_coh_list2,2,4,004_run_drink_tea,run_drink_tea,3,it_coh,intransitive_cohesive,cohesive,intransitive,2,15,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/3/it_target.jpg,it_target
isolated_list2_d004_set4_tr_coh_list2,d004_set4_tr_coh_list2,2,4,004_run_drink_tea,run_drink_tea,4,tr_coh,transitive_cohesive,cohesive,transitive,1,16,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/4/tr_target.jpg,tr_target
isolated_list2_d005_set1_tr_coh_list2,d005_set1_tr_coh_list2,2,5,005_rest_build_wall,rest_build_wall,1,tr_coh,transitive_cohesive,cohesive,transitive,1,17,../psychopy_gurung_v1/JpegStimuliFullRes/5_rest_build wall/1/tr_target.jpg,tr_target
