trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d026_set1_tr_coh_list2,201,2,26,026_sleep_drag_log,sleep_drag_log,1,tr_coh,transitive_cohesive,cohesive,transitive,1,101,3,JpegStimuliFullRes/26_sleep_drag log/1/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/1/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/1/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set1_it_ic_list2,202,2,26,026_sleep_drag_log,sleep_drag_log,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,101,3,JpegStimuliFullRes/26_sleep_drag log/1/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/1/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/1/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set2_it_coh_list2,203,2,26,026_sleep_drag_log,sleep_drag_log,2,it_coh,intransitive_cohesive,cohesive,intransitive,3,102,4,JpegStimuliFullRes/26_sleep_drag log/2/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/2/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/2/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/2/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set2_tr_ic_list2,204,2,26,026_sleep_drag_log,sleep_drag_log,2,tr_ic,transitive_incohesive,incohesive,transitive,2,102,3,JpegStimuliFullRes/26_sleep_drag log/2/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/2/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/2/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set3_it_coh_list2,205,2,26,026_sleep_drag_log,sleep_drag_log,3,it_coh,intransitive_cohesive,cohesive,intransitive,3,103,4,JpegStimuliFullRes/26_sleep_drag log/3/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/3/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/3/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/3/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set3_tr_ic_list2,206,2,26,026_sleep_drag_log,sleep_drag_log,3,tr_ic,transitive_incohesive,incohesive,transitive,2,103,3,JpegStimuliFullRes/26_sleep_drag log/3/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/3/tr_target.jpg,tr_target,JpegStimuliFullRes/26_sleep_drag log/3/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set4_tr_coh_list2,207,2,26,026_sleep_drag_log,sleep_drag_log,4,tr_coh,transitive_cohesive,cohesive,transitive,1,104,3,JpegStimuliFullRes/26_sleep_drag log/4/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/4/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/4/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d026_set4_it_ic_list2,208,2,26,026_sleep_drag_log,sleep_drag_log,4,it_ic,intransitive_incohesive,incohesive,intransitive,4,104,3,JpegStimuliFullRes/26_sleep_drag log/4/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/4/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/4/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
d027_set1_tr_coh_list2,209,2,27,027_jump_pull_blanket,jump_pull_blanket,1,tr_coh,transitive_cohesive,cohesive,transitive,1,105,3,JpegStimuliFullRes/27_jump_pull blanket/1/coh_1.jpg,coh_1,JpegStimuliFullRes/27_jump_pull blanket/1/coh_2.jpg,coh_2,JpegStimuliFullRes/27_jump_pull blanket/1/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/27_jump_pull blanket
d027_set1_it_ic_list2,210,2,27,027_jump_pull_blanket,jump_pull_blanket,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,105,3,JpegStimuliFullRes/27_jump_pull blanket/1/ic_1.jpg,ic_1,JpegStimuliFullRes/27_jump_pull blanket/1/it_target.jpg,it_target,JpegStimuliFullRes/27_jump_pull blanket/1/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/27_jump_pull blanket
d027_set2_it_coh_list2,211,2,27,027_jump_pull_blanket,jump_pull_blanket,2,it_coh,intransitive_cohesive,cohesive,intransitive,3,106,4,JpegStimuliFullRes/27_jump_pull blanket/2/coh_1.jpg,coh_1,JpegStimuliFullRes/27_jump_pull blanket/2/coh_2.jpg,coh_2,JpegStimuliFullRes/27_jump_pull blanket/2/it_target.jpg,it_target,JpegStimuliFullRes/27_jump_pull blanket/2/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/27_jump_pull blanket
